UPS Bypass No Disponible
Fecha Activado:     15/08/2017 04:39:33 p. m.
Fecha Normalizado:  15/08/2017 04:39:36 p. m.

UPS En Baterias
Fecha Activado:     15/08/2017 04:34:11 p. m.
Fecha Normalizado:  15/08/2017 04:34:38 p. m.

UPS Bypass No Disponible
Fecha Activado:     15/08/2017 04:34:11 p. m.
Fecha Normalizado:  15/08/2017 04:34:35 p. m.

UPS En Bypass
Fecha Activado:     14/08/2017 02:07:42 p. m.
Fecha Normalizado:  14/08/2017 02:07:50 p. m.

UPS Interruptor abierto
Fecha Activado:     14/08/2017 02:07:42 p. m.
Fecha Normalizado:  14/08/2017 02:07:50 p. m.

UPS Bypass No Disponible
Fecha Activado:     12/08/2017 06:44:24 p. m.
Fecha Normalizado:  12/08/2017 06:44:27 p. m.

UPS En Baterias
Fecha Activado:     10/08/2017 11:31:02 a. m.
Fecha Normalizado:  10/08/2017 11:31:05 a. m.

UPS Bypass No Disponible
Fecha Activado:     10/08/2017 11:31:02 a. m.
Fecha Normalizado:  10/08/2017 11:31:05 a. m.

UPS En Baterias
Fecha Activado:     06/08/2017 03:42:29 p. m.
Fecha Normalizado:  06/08/2017 03:42:36 p. m.

UPS Bypass No Disponible
Fecha Activado:     06/08/2017 03:42:29 p. m.
Fecha Normalizado:  06/08/2017 03:42:33 p. m.

UPS Bypass No Disponible
Fecha Activado:     15/07/2017 05:39:25 p. m.
Fecha Normalizado:  15/07/2017 05:39:28 p. m.

UPS En Baterias
Fecha Activado:     15/07/2017 05:39:21 p. m.
Fecha Normalizado:  15/07/2017 05:39:28 p. m.

UPS Bypass No Disponible
Fecha Activado:     15/07/2017 05:37:33 p. m.
Fecha Normalizado:  15/07/2017 05:37:36 p. m.

UPS En Baterias
Fecha Activado:     15/07/2017 05:34:12 p. m.
Fecha Normalizado:  15/07/2017 05:34:33 p. m.

UPS Bypass No Disponible
Fecha Activado:     15/07/2017 05:34:12 p. m.
Fecha Normalizado:  15/07/2017 05:34:33 p. m.

UPS Bypass No Disponible
Fecha Activado:     06/07/2017 06:48:45 p. m.
Fecha Normalizado:  06/07/2017 06:48:48 p. m.

UPS En Baterias
Fecha Activado:     05/07/2017 01:42:15 p. m.
Fecha Normalizado:  05/07/2017 01:42:18 p. m.

UPS En Baterias
